title,company,location,summary,salary,salary_class
Data Scientist,Michael Page,Perth WA,Make your mark on a young data function Adept at working with structured and unstructured data The business has data engineers but this will be the first ,115015.56,0
Data Scientist,Peoplebank,Canberra ACT,Modelling data and data tables to run efficient data queries Preparing training data and testing data for machine learning algorithms ,115015.56,0
Quantitative Risk Analyst,Akuna Capital,Sydney NSW,Akuna Capital is an innovative trading firm with a strong focus on collaboration cutting edge technology data driven solutions and automation ,115015.56,0
Data Scientist,Allura Partners,Sydney NSW,Generating robust advanced analytics and developing new cutting edge machine learning models and data driven tools to support our ongoing data strategy and ,115015.56,0
Data Scientist,Preacta Recruitment,Sydney NSW,My client is a tech driven financial business working towards expanding their data capability by investing heavily to ensure they use their data in the best ,115015.56,0
Environmental Scientist,NRA Environmental Consultants,Cairns QLD,Experience delivering and managing data for complex projects using multiple datasets Contribute to our multidisciplinary team of specialist scientists by ,115015.56,0
Big Data Engineer,Fractal.ai,Sydney NSW,Design and build data assets by integrating data from various internal and external sources At least 3 years experience as a Data Engineer Big Data ,115015.56,0
Medical Scientist,Gilead Sciences,Melbourne VIC,Serve as external scientific expert in the therapy area healthcare landscape and data on Gilead and competitor medicines ,115015.56,0
Research Scientist - Health AI Postdoc Researcher – Melbourne,IBM,Melbourne VIC,Must have developing testing and deploying systems for analysing medical data such as for example EEG ECG text speech or imaging data or for other real ,115015.56,0
Data Scientist,Pro Search Partners Pty Ltd,Melbourne VIC,Presenting data as a story Promoting data science products company wide Information sponge you live data and relationships What your day could consist of ,115015.56,0
Research Coordinator - Genomic Medicine,The Garvan Institute of Medical Research,Sydney NSW,Collect clinical data and perform data entry Ensure data security is maintained to protect patient records both physically and electronically ,115015.56,0
Data Engineer,ION,Sydney NSW,The successful candidate will have the ability to use programmatic tools and techniques to quickly understand different data sources transform and combine them ,115015.56,0
Sports Statistician (Data Collection),Genius Sports,Australia,Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga Australia and reporting all the action directly from the venue using ,100000.0,0
Data Scientist,Macquarie Group,Australia,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Research and Data Analyst,Chandler Macleod,Australia,Qualifications experience and skills in a data analytic role is essential including a demonstrated ability to interrogate information management systems ,115015.56,0
Data Scientist (M4),FinXL,Melbourne VIC,Degree in data science business intelligence data analytics or similar discipline Experience using statistical computer languages R Python SQL etc to ,115015.56,0
"Data Scientist - Data Analytics, Predictive Elasticity Data Scientist Consultant",Infinity Pro,Parramatta NSW,Detailed recent local hands on experience as a senior data scientist delivering insight within large organizations in complex data environment ,115015.56,0
Risk Analyst,Broad Construction,Sydney NSW,From internal and external data sources ingest store prepare train model and visualise pertinent Pre Contracts and Project Delivery data in order to ,115015.56,0
Data Scientist,Bluefin Resources,Sydney NSW,Build a deep understanding of the relevant data systems landscape optimise the data extraction processes 12 month Fixed Term Contract ,115015.56,0
Expression of Interest - Computational Biologists/ Statistical Geneticists,The Garvan Institute of Medical Research,Sydney NSW,Direct experience in performing quality control and analysis of genomic data sets or other complex data types ,115015.56,0
Senior Data Scientist,Preacta Recruitment,Sydney NSW,My client is a tech driven financial business working towards expanding their data capability by investing heavily to ensure they use their data in the best ,140000.0,1
Data Scientist / Data Engineer (AI Machine Learning),Anson McCade,Sydney NSW,As such they are looking for talented data scientist with strong data engineering experience to drive this They are kicking off some major projects developing ,115015.56,0
Data Analyst - Health Economics and Data Analysis,Curtin University of Technology,Perth WA,Application of technical skills to real world big data sets with the ability to automate routine data processing activities In this role you will ,115015.56,0
Suncorp 2021 Vacation Program (Technology / HR),Suncorp Group,Australia,Suncorp s Vacation Program is a twelve week accelerated development program designed to give you insight into future career paths and open the door to the ,115015.56,0
Research Associate - Data Science,University of New South Wales,Sydney NSW,Often such models are developed based on the behavioural data collected in sequential decision making tasks in humans and in some studies neural data ,103000.0,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Medical Scientist,Optimum Patient Care,Australia,To contribute to new and existing projects with respect to considering practical medical issues and clinical application and to understand EMR data and coding ,115015.56,0
Sports Statistician (Data Collection),Genius Sports,Australia,Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga Australia and reporting all the action directly from the venue using ,100000.0,0
Data Scientist,Macquarie Group,Australia,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Formulation Manager,CSL - Australia,Australia,These can also include programs used by data scientists such as Mathematica R Python or other relevant platforms Applications close August 23 2020 ,115015.56,0
Data Scientist (M4),FinXL,Melbourne VIC,Degree in data science business intelligence data analytics or similar discipline Experience using statistical computer languages R Python SQL etc to ,115015.56,0
"Data Scientist - Data Analytics, Predictive Elasticity Data Scientist Consultant",Infinity Pro,Parramatta NSW,Detailed recent local hands on experience as a senior data scientist delivering insight within large organizations in complex data environment ,115015.56,0
Risk Analyst,Broad Construction,Sydney NSW,From internal and external data sources ingest store prepare train model and visualise pertinent Pre Contracts and Project Delivery data in order to ,115015.56,0
Data Scientist,Bluefin Resources,Sydney NSW,Build a deep understanding of the relevant data systems landscape optimise the data extraction processes 12 month Fixed Term Contract ,115015.56,0
Expression of Interest - Computational Biologists/ Statistical Geneticists,The Garvan Institute of Medical Research,Sydney NSW,Direct experience in performing quality control and analysis of genomic data sets or other complex data types ,115015.56,0
Senior Data Scientist,Preacta Recruitment,Sydney NSW,My client is a tech driven financial business working towards expanding their data capability by investing heavily to ensure they use their data in the best ,140000.0,1
Data Scientist / Data Engineer (AI Machine Learning),Anson McCade,Sydney NSW,As such they are looking for talented data scientist with strong data engineering experience to drive this They are kicking off some major projects developing ,115015.56,0
Data Analyst - Health Economics and Data Analysis,Curtin University of Technology,Perth WA,Application of technical skills to real world big data sets with the ability to automate routine data processing activities In this role you will ,115015.56,0
Suncorp 2021 Vacation Program (Technology / HR),Suncorp Group,Australia,Suncorp s Vacation Program is a twelve week accelerated development program designed to give you insight into future career paths and open the door to the ,115015.56,0
Research Associate - Data Science,University of New South Wales,Sydney NSW,Often such models are developed based on the behavioural data collected in sequential decision making tasks in humans and in some studies neural data ,103000.0,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Research and Data Analyst,Chandler Macleod,Australia,Qualifications experience and skills in a data analytic role is essential including a demonstrated ability to interrogate information management systems ,115015.56,0
Sports Statistician (Data Collection),Genius Sports,Australia,Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga Australia and reporting all the action directly from the venue using ,100000.0,0
Data Scientist,Macquarie Group,Australia,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Medical Scientist,Optimum Patient Care,Australia,To contribute to new and existing projects with respect to considering practical medical issues and clinical application and to understand EMR data and coding ,115015.56,0
Research and Data Analyst,Chandler Macleod,Australia,Qualifications experience and skills in a data analytic role is essential including a demonstrated ability to interrogate information management systems ,115015.56,0
Data Scientist,GMT People,Canberra ACT,Open Data Cube and large data Remote sensing principles and working with remotely sensed data and image processing software Contract to 30 June 2021 ,115015.56,0
Risk Analyst,CPB Contractors,Sydney NSW,From internal and external data sources ingest store prepare train model and visualise pertinent Pre Contracts and Project Delivery data in order to ,115015.56,0
Data Modeller | Data and Analytics,EY,Canberra ACT,We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business ,115015.56,0
Environmental Engineer/Scientist,Golder Associates,Western Australia,Preparation of reports including data management interpretation and reporting in line with regulatory guidelines At Golder we thrive on challenges ,115015.56,0
Digital Designer | Data and Analytics,EY,Canberra ACT,We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business ,115015.56,0
Senior Data Engineer,Prospa,Darlinghurst NSW,You will extend and optimize our data pipelines data lake and data warehouse Your work will ensure our data pipelines are running efficiently our enterprise ,115015.56,0
Data Engineer | Data and Analytics,EY,Canberra ACT,Previous experience working with data data environments databases large data sets possibly in a consulting environment Skills and attributes for success ,115015.56,0
Earth Observation Data Scientist,HiTech Personnel,Canberra ACT,Experience working with large data Knowledge of remote sensing principles and experience working with remotely sensed data and image processing software ,115015.56,0
Data Scientist,Eliiza,Melbourne VIC,We re growing our data science capabilities and are looking for a data scientist to join our Eliiza team in Melbourne We produce the AI Australia podcast ,115015.56,0
Data Scientist,Talent International,Canberra ACT,Experience in working with remotely sensed data and image processing software Our client is seeking the services of a Data Scientist to work with a diverse ,115015.56,0
Sports Statistician (Data Collection),Genius Sports,Australia,Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga Australia and reporting all the action directly from the venue using ,100000.0,0
Data Scientist,Macquarie Group,Australia,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Medical Scientist,Optimum Patient Care,Australia,To contribute to new and existing projects with respect to considering practical medical issues and clinical application and to understand EMR data and coding ,115015.56,0
Research and Data Analyst,Chandler Macleod,Australia,Qualifications experience and skills in a data analytic role is essential including a demonstrated ability to interrogate information management systems ,115015.56,0
Data Scientist,GMT People,Canberra ACT,Open Data Cube and large data Remote sensing principles and working with remotely sensed data and image processing software Contract to 30 June 2021 ,115015.56,0
Risk Analyst,CPB Contractors,Sydney NSW,From internal and external data sources ingest store prepare train model and visualise pertinent Pre Contracts and Project Delivery data in order to ,115015.56,0
Data Modeller | Data and Analytics,EY,Canberra ACT,We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business ,115015.56,0
Environmental Engineer/Scientist,Golder Associates,Western Australia,Preparation of reports including data management interpretation and reporting in line with regulatory guidelines At Golder we thrive on challenges ,115015.56,0
Digital Designer | Data and Analytics,EY,Canberra ACT,We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business ,115015.56,0
Senior Data Engineer,Prospa,Darlinghurst NSW,You will extend and optimize our data pipelines data lake and data warehouse Your work will ensure our data pipelines are running efficiently our enterprise ,115015.56,0
Data Engineer | Data and Analytics,EY,Canberra ACT,Previous experience working with data data environments databases large data sets possibly in a consulting environment Skills and attributes for success ,115015.56,0
Earth Observation Data Scientist,HiTech Personnel,Canberra ACT,Experience working with large data Knowledge of remote sensing principles and experience working with remotely sensed data and image processing software ,115015.56,0
Data Scientist,Eliiza,Melbourne VIC,We re growing our data science capabilities and are looking for a data scientist to join our Eliiza team in Melbourne We produce the AI Australia podcast ,115015.56,0
Data Scientist,Talent International,Canberra ACT,Experience in working with remotely sensed data and image processing software Our client is seeking the services of a Data Scientist to work with a diverse ,115015.56,0
Laboratory Manager,NSW Health Pathology,Sydney NSW,Advanced knowledge and operating competency with Laboratory Information Systems Microsoft Office applications and Quality Management Systems and proven data ,132511.0,1
Earth Observation Data Scientist,Peoplebank,Canberra ACT,Knowledge of remote sensing principles and experience in working with remotely sensed data and image processing software including workflow development and ,115015.56,0
"Experience Management Scientist, Customer Experience",Qualtrics,Sydney NSW,Have a strong understanding of good research methodology item design and data collection Able to analyse and interpret data and report back insights to ,115015.56,0
Data Scientist,Michael Page,Perth WA,Make your mark on a young data function Adept at working with structured and unstructured data The business has data engineers but this will be the first ,115015.56,0
Data Scientist,Peoplebank,Canberra ACT,Modelling data and data tables to run efficient data queries Preparing training data and testing data for machine learning algorithms ,115015.56,0
Quantitative Risk Analyst,Akuna Capital,Sydney NSW,Akuna Capital is an innovative trading firm with a strong focus on collaboration cutting edge technology data driven solutions and automation ,115015.56,0
Data Scientist,Allura Partners,Sydney NSW,Generating robust advanced analytics and developing new cutting edge machine learning models and data driven tools to support our ongoing data strategy and ,115015.56,0
Data Scientist,Preacta Recruitment,Sydney NSW,My client is a tech driven financial business working towards expanding their data capability by investing heavily to ensure they use their data in the best ,115015.56,0
Environmental Scientist,NRA Environmental Consultants,Cairns QLD,Experience delivering and managing data for complex projects using multiple datasets Contribute to our multidisciplinary team of specialist scientists by ,115015.56,0
Big Data Engineer,Fractal.ai,Sydney NSW,Design and build data assets by integrating data from various internal and external sources At least 3 years experience as a Data Engineer Big Data ,115015.56,0
Sports Statistician (Data Collection),Genius Sports,Australia,Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga Australia and reporting all the action directly from the venue using ,100000.0,0
Data Scientist,Macquarie Group,Australia,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Medical Scientist,Optimum Patient Care,Australia,To contribute to new and existing projects with respect to considering practical medical issues and clinical application and to understand EMR data and coding ,115015.56,0
Research and Data Analyst,Chandler Macleod,Australia,Qualifications experience and skills in a data analytic role is essential including a demonstrated ability to interrogate information management systems ,115015.56,0
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,A role as an Entry Level Intelligence Analyst known in the Navy as Cryptologic Linguist is exciting challenging and immensely rewarding ,89999.0,0
"Data Analyst, EL1, Sydney, Canberra or Melbourne",Australian Trade Commission (Austrade),Sydney NSW,You will be responsible for data analysis data quality checks and providing data advice to ensure reliable trustworthy scalable data is made available within ,114031.0,0
Data Analyst COVID 19,Health System Support Group,Sydney NSW,Liaise with data providers subject matter experts to ensure correct translation between source data and stored data Prepare data for state wide reporting ,100090.0,0
Data Analyst - Customer Growth,Flexigroup,Sydney NSW,Ability to interpret new data sources and extraction manipulation of large data sets to perform analytics Should have a deep understanding of Enterprise Data ,109292.72,0
Expressions of Interest- Forensic Advisory,KPMG,Sydney NSW,Manipulating data into meaningful formats reports and statistics Analysis of financial crime compliance policies procedures and data ,109292.72,0
Data Analyst,Hearts & Science,Sydney NSW,Perform data analysis and data profiling Work with complex data sets support data structures and hygiene at a high level What are we looking for ,109292.72,0
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,Our mission is to assist organisations turn their data into strategic assets developing data strategies and data management practices that enable responsible ,109292.72,0
Data & Reporting Analyst,Yarra Valley Water,Mitcham VIC,Demonstrated knowledge of and experience with the principles and practices of reporting and data analysis including data quality analysis data visualisation ,109292.72,0
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories databases and spreadsheets in a timely and accurate manner ,109292.72,0
Remediation Analyst,TAL,Sydney NSW,Delivering weekly remediation reporting data and stakeholder reporting Remediation Analyst 6 month Fixed Term Contract Welcome to This Australian Life ,109292.72,0
Data Analyst,PKF Australia,Sydney NSW,We are currently seeking a data analyst to join our growing team in Newcastle or Sydney NSW Experience in predictive analytics techniques and data modelling ,109292.72,0
Data Analyst,Lendlease,Sydney Central Business District NSW,Experience as a data analyst or related field BI Business Analysis Assist in the normalisation and development of data assets including developing cleansing ,109292.72,0
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,There may also be the possibility of reviewing other reporting analysts outputs and being involved in deal QA testing ,109292.72,0
"Customer Data Analyst, Australia",OakNorth Bank,Sydney NSW,A CA is responsible for working with client bank analysts to understand their processes and requirements for credit decisions portfolio monitoring and data ,109292.72,0
Data & Visualisation Analyst,HSBC,Sydney NSW,Interrogation of complex and disparate data sources Development of efficient and effective automated data processes Some careers have more impact than others ,109292.72,0
Senior Data Migration Analyst,Lion,Australia,We are looking for someone with strong experience as a data migration specialist and working knowledge of big data cloud computing and machine learning along ,109292.72,0
"Customer Data Analyst, Australia",OakNorth Bank,Sydney NSW,A CA is responsible for working with client bank analysts to understand their processes and requirements for credit decisions portfolio monitoring and data ,109292.72,0
Research and Data Analyst,Chandler Macleod,Australia,Qualifications experience and skills in a data analytic role is essential including a demonstrated ability to interrogate information management systems ,109292.72,0
Data & Visualisation Analyst,HSBC,Sydney NSW,Interrogation of complex and disparate data sources Development of efficient and effective automated data processes Some careers have more impact than others ,109292.72,0
PMO Analyst/Project Support x 4,Macquarie University,Macquarie University NSW,Salary Package From 105 298 to 117 167 HEW Level 8 plus 17 employer s superannuation contribution and annual leave loading ,117167.0,1
Data Analyst,Invoice2go,Sydney NSW,Build and maintain metrics dashboard using a data visualization tool We are looking for curious and enthusiastic analysts who can thrive in a constantly ,80000.0,0
Performance & Remuneration Analyst,Programmed,Australia,Provide analytical support data management and reporting for the annual remuneration review process and other cyclical processes e g performance management ,109292.72,0
Economic Analyst,REA Group,Sydney NSW,Experience working with property data Access unparalleled property and behavioural data Collaborate with product design data science and economics teams to ,109292.72,0
Undergraduate GIS Analyst,Jacobs,Sydney NSW,In our digital advisory work we re leveraging innovative technologies and big data analytics to solve the world s most critical challenges ,109292.72,0
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,In data science and big data analytics the IDA creates enablers for Understand data structures and business and extract and integrate required data sources ,109292.72,0
Principal Statistical Analyst,Department of Education,Sydney NSW,CESE is Australia s first dedicated hub of education data and evaluation Collect essential education data and provide a one stop shop for information needs ,109292.72,0
Inventory Analyst,Fisher & Paykel Appliances,Sydney NSW,This opportunity is best suited to a data driven Inventory Analyst who will be a strong cross functional ambassador across the organisation ,109292.72,0
Customer Insights Analyst,Commonwealth Bank,Sydney Central Business District NSW,You have excellent SQL skills and experience dealing with large and complex data sets We are the pioneers of leveraging decisioning technology and the Group s ,109292.72,0
Value & Insights Coach,Roche,Sydney NSW,Acts as an industry advocate and analyst to surface key industry trends You have deep understanding of Corporate Finance Financial Modelling Data Mining ,109292.72,0
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,The Data Analyst Visualisation will work as part of the Recycling industry Support team to develop solutions derived from multiple data sources using a range ,109292.72,0
Financial Analyst,Robert Half,Australia,Our client is looking for a financial analyst to join their business for a 6 month contract A numbers person at heart you have tremendous enthusiasm for data ,109292.72,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,109292.72,0
GIS Analyst,CGC Recruitment,Australia,Demonstrated GIS skills and experience in management of spatial data Must have prior experience using ArcGIS and ability to manage spatial data ,109292.72,0
Data Analyst,Lendlease,Sydney Central Business District NSW,Experience as a data analyst or related field BI Business Analysis Assist in the normalisation and development of data assets including developing cleansing ,109292.72,0
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,There may also be the possibility of reviewing other reporting analysts outputs and being involved in deal QA testing ,109292.72,0
"Customer Data Analyst, Australia",OakNorth Bank,Sydney NSW,A CA is responsible for working with client bank analysts to understand their processes and requirements for credit decisions portfolio monitoring and data ,109292.72,0
Data & Visualisation Analyst,HSBC,Sydney NSW,Interrogation of complex and disparate data sources Development of efficient and effective automated data processes Some careers have more impact than others ,109292.72,0
PMO Analyst/Project Support x 4,Macquarie University,Macquarie University NSW,Salary Package From 105 298 to 117 167 HEW Level 8 plus 17 employer s superannuation contribution and annual leave loading ,117167.0,1
Data Analyst,Invoice2go,Sydney NSW,Build and maintain metrics dashboard using a data visualization tool We are looking for curious and enthusiastic analysts who can thrive in a constantly ,80000.0,0
Economic Analyst,REA Group,Sydney NSW,Experience working with property data Access unparalleled property and behavioural data Collaborate with product design data science and economics teams to ,109292.72,0
Undergraduate GIS Analyst,Jacobs,Sydney NSW,In our digital advisory work we re leveraging innovative technologies and big data analytics to solve the world s most critical challenges ,109292.72,0
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,In data science and big data analytics the IDA creates enablers for Understand data structures and business and extract and integrate required data sources ,109292.72,0
Principal Statistical Analyst,Department of Education,Sydney NSW,CESE is Australia s first dedicated hub of education data and evaluation Collect essential education data and provide a one stop shop for information needs ,109292.72,0
Business Analyst (Mid-level),Robert Half,Australia,Understanding of data flows between systems CBD based client is currently looking for a mid level Business Analyst with excellent document writing and user ,109292.72,0
Business Performance Analyst,Commonwealth Bank,Australia,Whether you re passionate about customer service driven by data or called by creativity a career here is for you See yourself in our team ,109292.72,0
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,A role as an Entry Level Intelligence Analyst known in the Navy as Cryptologic Linguist is exciting challenging and immensely rewarding ,89999.0,0
PMO Analyst,Macquarie University,Macquarie University NSW,Salary Package From 105 298 to 117 167 HEW Level 8 plus 13 25 employer s superannuation contribution and annual leave loading ,117167.0,1
Client Onboarding Data Analyst,Faethm,Sydney NSW,A passion for all things data Familiarity with Tableau or other BI data viz tools desired Experience in processing cleaning organising and manipulating data ,109292.72,0
Business Analyst,Infosys Limited,Sydney NSW,Good to have an understanding of basic data modelling and data integration Understanding of data warehouse concepts ,109292.72,0
Solutions Analyst,Office of Sport,Sydney NSW,Demonstrated knowledge of SDLC and Agile methodologies business analysis project management system and data relationships and service delivery models ,107541.0,0
Data Analyst - Energy Fleet Analytics (Melbourne),Tesla,Cremorne VIC,Write reproducible data analysis over petabytes of data using cutting edge open source technologies Build data pipelines to promote your ad hoc data analyses ,109292.72,0
Analyst,Strategy & Reform,Sydney NSW,Apply critical thinking and analysis to data to demonstrate findings of data beyond simple presenting of numbers If so please read on ,109292.72,0
"Analyst ~ Investments, Infrastructure (data & digital)",Brookfield Asset Management,Sydney NSW,Translating data research and diligence findings into model inputs Strong interest in the digital and data infrastructure sector and prior exposure is highly ,109292.72,0
eRIC Integration Analyst,eHealth NSW,Sydney NSW,This role is pivotal in ensuring high levels of availability and security in message flow conformance to data requirements and standardisation across multiple ,130233.0,1
Data Analyst,Showpo,Remote,Identify gaps in our data and work with the Dev team to integrate necessary data into our data warehouse Utilise data sources to make forecasts predictions ,109292.72,0
Data Reporting Analyst,AMP Limited,Sydney NSW,We are looking for an experienced data reporting analyst with exceptional capabilities in preparing and presenting your data findings to relevant stakeholders ,109292.72,0
SENIOR BUSINESS INTELLIGENCE/DATA ANALYST,City of Sydney,Sydney Central Business District NSW,Assisting business areas discover insights through data analysis reporting and visualisation Experience working on data integration projects developing ,109292.72,0
"Data Scientist, Digital Delta",KPMG,Sydney NSW,Actioning insights from trusted data to consistently and quickly make clear decisions Extract and manipulate data from a variety of sources and apply the ,109292.72,0
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,Implement automated data collection and validation processes Analyse and perform data matching cleansing validation and load on incoming customer data by ,109292.72,0
Procurement Commercial Analyst,Compass Group Australia,Sydney NSW,Collate data and produce reports including pipeline initiative tracking validation and trend analysis on usage data Ability to work with high volume data ,109292.72,0
Testing Analyst (SSAS/SSIS),Australian Prudential Regulation Authority (APRA),Sydney NSW,You will have the ability to code in at least one programming language Java JavaScript C etc knowledge on GIT in maintaining source code repositories and ,109292.72,0
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,A role as an Entry Level Intelligence Analyst known in the Navy as Cryptologic Linguist is exciting challenging and immensely rewarding ,89999.0,0
Testing Analyst (SSAS/SSIS),APRA,Australia,You will have the ability to code in at least one programming language Java JavaScript C etc knowledge on GIT in maintaining source code repositories and ,109292.72,0
Data Business Analyst,Macquarie Group,Australia,Extensive hands on data analysis experience including a thorough appreciation of how data flows through systems relationships between data and data ,109292.72,0
Inventory Analyst,Fisher & Paykel Appliances,Sydney NSW,This opportunity is best suited to a data driven Inventory Analyst who will be a strong cross functional ambassador across the organisation ,109292.72,0
Customer Insights Analyst,Commonwealth Bank,Sydney Central Business District NSW,You have excellent SQL skills and experience dealing with large and complex data sets We are the pioneers of leveraging decisioning technology and the Group s ,109292.72,0
Value & Insights Coach,Roche,Sydney NSW,Acts as an industry advocate and analyst to surface key industry trends You have deep understanding of Corporate Finance Financial Modelling Data Mining ,109292.72,0
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,The Data Analyst Visualisation will work as part of the Recycling industry Support team to develop solutions derived from multiple data sources using a range ,109292.72,0
PMO Analyst,Macquarie University,Macquarie University NSW,Salary Package From 105 298 to 117 167 HEW Level 8 plus 13 25 employer s superannuation contribution and annual leave loading ,117167.0,1
Client Onboarding Data Analyst,Faethm,Sydney NSW,A passion for all things data Familiarity with Tableau or other BI data viz tools desired Experience in processing cleaning organising and manipulating data ,109292.72,0
Business Analyst,Infosys Limited,Sydney NSW,Good to have an understanding of basic data modelling and data integration Understanding of data warehouse concepts ,109292.72,0
Solutions Analyst,Office of Sport,Sydney NSW,Demonstrated knowledge of SDLC and Agile methodologies business analysis project management system and data relationships and service delivery models ,107541.0,0
Data Analyst - Energy Fleet Analytics (Melbourne),Tesla,Cremorne VIC,Write reproducible data analysis over petabytes of data using cutting edge open source technologies Build data pipelines to promote your ad hoc data analyses ,109292.72,0
ICT Test Engineer,Espire Infolabs Pty Ltd,Australia,Ability to design Test Automation framework by incorporating the best of data driven keyword driven Hybrid driven BDD driven framework ,109292.72,0
Software/Data Engineer,Tardis Group,Australia,The position will form part of our established data services team and involve assisting our customer base in project delivery and production support of business ,100000.0,0
Reconciliations Analyst,Zip,Australia,We use technology and data to deliver simple fast and fair payments to empower customers to own what they want What are we looking for ,109292.72,0
Data Analyst,Lendlease,Australia,Experience as a data analyst or related field BI Business Analysis Assist in the normalisation and development of data assets including developing cleansing ,109292.72,0
Systems Analyst,Chief Group Services,Australia,An applicant with digital data visualisation expertise and experience working with Oracle Bi is preferable Our services include security and cleaning car park ,100000.0,0
Business Analyst,Robert Half,Australia,Impressive experience working on projects with complex integration and multiple systems data Your business know how means you are easily able to perform due ,109292.72,0
Analyst,Strategy & Reform,Sydney NSW,Apply critical thinking and analysis to data to demonstrate findings of data beyond simple presenting of numbers If so please read on ,109292.72,0
"Analyst ~ Investments, Infrastructure (data & digital)",Brookfield Asset Management,Sydney NSW,Translating data research and diligence findings into model inputs Strong interest in the digital and data infrastructure sector and prior exposure is highly ,109292.72,0
eRIC Integration Analyst,eHealth NSW,Sydney NSW,This role is pivotal in ensuring high levels of availability and security in message flow conformance to data requirements and standardisation across multiple ,130233.0,1
Data Analyst,Showpo,Remote,Identify gaps in our data and work with the Dev team to integrate necessary data into our data warehouse Utilise data sources to make forecasts predictions ,109292.72,0
Data Reporting Analyst,AMP Limited,Sydney NSW,We are looking for an experienced data reporting analyst with exceptional capabilities in preparing and presenting your data findings to relevant stakeholders ,109292.72,0
SENIOR BUSINESS INTELLIGENCE/DATA ANALYST,City of Sydney,Sydney Central Business District NSW,Assisting business areas discover insights through data analysis reporting and visualisation Experience working on data integration projects developing ,109292.72,0
"Data Scientist, Digital Delta",KPMG,Sydney NSW,Actioning insights from trusted data to consistently and quickly make clear decisions Extract and manipulate data from a variety of sources and apply the ,109292.72,0
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,Implement automated data collection and validation processes Analyse and perform data matching cleansing validation and load on incoming customer data by ,109292.72,0
Procurement Commercial Analyst,Compass Group Australia,Sydney NSW,Collate data and produce reports including pipeline initiative tracking validation and trend analysis on usage data Ability to work with high volume data ,109292.72,0
Testing Analyst (SSAS/SSIS),Australian Prudential Regulation Authority (APRA),Sydney NSW,You will have the ability to code in at least one programming language Java JavaScript C etc knowledge on GIT in maintaining source code repositories and ,109292.72,0
ICT Business Analyst,BAR360,Australia,Business analyst 3 years Required Using data and process modelling techniques to create clear system specifications for the design and development of system ,90000.0,0
System Analyst / Project Manager,SalesPond Pty Ltd,Australia,Knowledge of data modelling and data visualisation tools Experience in project management and system analyst for more than 4 years ,80000.0,0
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,A role as an Entry Level Intelligence Analyst known in the Navy as Cryptologic Linguist is exciting challenging and immensely rewarding ,89999.0,0
